plot,algodao,angico,burra,cating,cumaru,feijao,imbira,imburana,ipe,joazeiro,ju_branca,ju_preta,juca,mororo,mofumbu,pereiro
3,14.96,11.23875,-7.874,0,0,0,0,0,0,44.511,0,0,0,0,0,0
4,8.58,14.8,10.788,-1.292,-0.4666,4.6842,-0.328,18.62533337,0,26.529,-7.347666656,215.3440003,6.901,15.52833335,31.414,5.064666685
5,0,0,0,0,-3.0329,1.5192,0,11.18333336,1.007777778,0,-15.40816664,306.2705005,0,0,15.985,3.550000013
6,20.53333333,0,0,0,0,0,0,0,0,41.53514286,0,0,0,0,0,0
8,0,11.07153846,0,0,0,0,0,0,0,0,0,193.6948336,0,0,0,0
12,0,0,0,6.46,0,0,0,0,0,0,0,0,3.566461538,0,0,0
13,0,0,0,0,0,0,0,0,0,19.337125,14.85983331,0,0,0,0,0
14,12.43,0,4.65,3.876,0,1.7724,7.544,21.22800004,-4.232666669,66.6,42.76999994,338.1443339,-4.422,0.556,0,4.070666681
15,0,0,0,0,0,0,0,0,4.232666669,32.671,8.209333321,15.91333335,0,0,0,0
16,0,0,0,0,0,0,0,16.2666667,-2.418666668,0,19.6303333,252.4866671,0,0,5.977,1.798666673
18,6.306666667,0,0,0,0,0,0,184.3989337,0,0,0,0,0,0,0,0
19,3.96,22.385,0,38.76,0,5.8236,-0.328,10.81733336,0,12.432,-48.03399993,699.1376678,6.432,24.5116667,14.178,6.816000024
22,48.34666667,0,14.601,0,0,0,0,16.6326667,0,47.286,0,120.5571669,0,14.56583335,0,6.721333357
24,15.07846154,0,0,0,0,0,0,0,0,27.51566667,0,0,0,0,0,0
25,21.56,-0.37,0,8.398,-3.4995,-3.6081,0,48.96266677,36.28000002,43.66,-198.935333,413.7860007,13.132,0,-0.417,-0.189333334
27,0,9.126666667,0,11.52033333,0,0.904285714,0,0,0,0,0,0,0,0,0,2.691238105
28,0,-12.95,21.266,0,0,0,0,7.482666682,18.34155557,9.916,0,151.0225002,0,7.186666676,0,4.875333351
29,3.08,0,0,37.468,-0.9332,0.1266,0,0,3.023333335,0,-10.85699998,0,8.509,0,9.174,0
32,40.51666667,30.58666667,28.3836,0,0,0,0,0,0,42.70857143,0,0,0,0,0,0
33,0,35.34923077,20.65116667,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,4.404545455,0,0,0,0,9.926611117,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,12.034875,0,0,1.647200006
37,0,0,141.0224444,0,0,0,1.690461538,0,0,0,0,0,0,0,0,0
39,8.58,6.475,101.804,1.292,0,1.2027,1.148,7.482666682,1.209333334,32.597,0,538.6730009,16.415,47.22666673,68.11,3.928666681
40,0,0,0,0,0,0,0,8.499333351,1.587250001,0,0,267.7193338,0,0,0,1.715833339
42,0,0,-0.589,0,0,0,2.241333333,0,0,0,0,0,0,0,0,0
43,7.26,0,0,0,0,0,0,14.50444447,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,16.82244448,9.209538467,0,0,0,0,0,0,0
46,13.42,0,0,-0.430666667,-0.2333,0.55,1.093333333,0,0,0,72.59933322,0,92.661,0,29.5375,0
48,12.60285714,0,0,0,0,0,2.542,28.34466672,0,0,0,261.3102861,0,0,0,0
49,6.966666667,18.62333333,6.572,-1.938,0,0,0.546666667,0,0,26.196,0,0,6.4655,5.13333334,0,0
50,13.75,-7.215,42.408,8.075,1.8664,-0.1899,0.984,4.066666675,24.79133335,32.19,42.5506666,157.8563336,5.092,18.22333336,-1.668,1.704000006
