plot,algodao,angico,burra,cating,cumaru,feijao,imbira,imburana,ipe,joazeiro,ju_branca,ju_preta,juca,mororo,mofumbu,pereiro
3,0.25,0.25,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0
4,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
5,0,0,0,0,0.125,0.125,0,0.125,0.125,0,0.125,0.125,0,0,0.125,0.125
6,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
8,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
12,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0
13,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
14,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
15,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0,0
16,0,0,0,0,0.125,0.125,0,0.125,0.125,0,0.125,0.125,0,0,0.125,0.125
18,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
19,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
22,0,0.125,0.125,0,0,0,0,0.125,0.125,0.125,0,0.125,0,0.125,0,0.125
24,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
25,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
27,0,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0.25
28,0,0.125,0.125,0,0,0,0,0.125,0.125,0.125,0,0.125,0,0.125,0,0.125
29,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
32,0.25,0.25,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0
33,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5
37,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
39,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
40,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0,0,0,0.25
42,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
43,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0
46,0.125,0,0,0.125,0.125,0.125,0.125,0,0,0,0.125,0,0.125,0,0.125,0
48,0.25,0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0,0,0
49,0.125,0.125,0.125,0.125,0,0,0.125,0,0,0.125,0,0,0.125,0.125,0,0
50,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
