parcela,Classificação,Coordenada X,Coordenada Y,,,
9,Controle,-36.963804,-5.539320,,,
118,Controle,-36.963356,-5.537841,,,
35,Controle,-36.964097,-5.538768,,,
63,Controle,-36.963963,-5.538405,,,
70,Controle,-36.963692,-5.538315,,,
58,Controle,-36.963286,-5.538403,,,
84,Controle,-36.964911,-5.538137,,,
148,Controle,-36.964100,-5.537592,,,
2,1 sp,-36.963530,-5.539602,,,
11,1 sp,-36.964029,-5.539314,,,
116,1 sp,-36.963176,-5.537882,,,
102,1 sp,-36.964483,-5.538023,,,
103,1 sp,-36.964663,-5.538023,,,
144,1 sp,-36.964890,-5.537572,,,
108,1 sp,-36.965047,-5.538048,,,
1,1 sp,-36.963780,-5.539615,,,
38,1 sp,-36.963826,-5.538676,,,
65,1 sp,-36.964234,-5.538407,,,
20,1 sp,-36.964053,-5.539111,,,
21,1 sp,-36.964053,-5.539020,,,
10,1 sp,-36.963917,-5.539343,,,
7,1 sp,-36.963553,-5.539399,,,
17,1 sp,-36.963554,-5.539127,,,
23,1 sp,-36.963554,-5.539037,,,
30,1 sp,-36.963420,-5.538765,,,
41,1 sp,-36.963420,-5.538674,,,
31,1 sp,-36.963556,-5.538766,,,
26,1 sp,-36.963692,-5.538857,,,
47,1 sp,-36.963962,-5.538586,,,
52,1 sp,-36.963827,-5.538496,,,
62,1 sp,-36.963828,-5.538406,,,
69,1 sp,-36.963828,-5.538315,,,
44,1 sp,-36.963556,-5.538585,,,
60,1 sp,-36.963557,-5.538403,,,
56,1 sp,-36.963286,-5.538493,,,
66,1 sp,-36.964234,-5.538316,,,
77,1 sp,-36.963693,-5.538224,,,
82,1 sp,-36.964369,-5.538226,,,
83,1 sp,-36.964505,-5.538226,,,
129,1 sp,-36.964912,-5.537776,,,
128,1 sp,-36.964912,-5.537866,,,
105,1 sp,-36.964912,-5.538047,,,
104,1 sp,-36.964775,-5.538046,,,
90,1 sp,-36.964098,-5.538135,,,
93,1 sp,-36.963693,-5.538133,,,
101,1 sp,-36.964235,-5.538044,,,
100,1 sp,-36.964099,-5.538044,,,
99,1 sp,-36.963828,-5.538043,,,
98,1 sp,-36.963693,-5.538043,,,
126,1 sp,-36.964505,-5.537864,,,
123,1 sp,-36.964100,-5.537863,,,
134,1 sp,-36.963830,-5.537772,,,
140,1 sp,-36.964100,-5.537684,,,
147,1 sp,-36.964236,-5.537593,,,
152,1 sp,-36.964507,-5.537503,,,
154,1 sp,-36.964778,-5.537504,,,
18,2 sp,-36.963689,-5.539109,,,
42,2 sp,-36.963309,-5.538607,,,
57,2 sp,-36.963173,-5.538380,,,
74,2 sp,-36.963174,-5.538244,,,
96,2 sp,-36.963175,-5.538018,,,
107,2 sp,-36.965024,-5.537934,,,
6,2 sp,-36.963781,-5.539434,,,
33,2 sp,-36.963826,-5.538766,,,
34,2 sp,-36.963961,-5.538808,,,
37,2 sp,-36.963962,-5.538718,,,
36,2 sp,-36.964097,-5.538677,,,
12,2 sp,-36.964052,-5.539201,,,
13,2 sp,-36.963917,-5.539253,,,
8,2 sp,-36.963553,-5.539308,,,
43,2 sp,-36.963421,-5.538584,,,
24,2 sp,-36.963555,-5.538946,,,
64,2 sp,-36.964098,-5.538406,,,
51,2 sp,-36.963962,-5.538496,,,
45,2 sp,-36.963692,-5.538585,,,
53,2 sp,-36.963691,-5.538496,,,
61,2 sp,-36.963692,-5.538405,,,
55,2 sp,-36.963421,-5.538494,,,
72,2 sp,-36.963421,-5.538313,,,
73,2 sp,-36.963286,-5.538312,,,
78,2 sp,-36.963828,-5.538224,,,
143,2 sp,-36.964912,-5.537686,,,
87,2 sp,-36.964506,-5.538136,,,
88,2 sp,-36.964370,-5.538136,,,
89,2 sp,-36.964234,-5.538135,,,
91,2 sp,-36.963963,-5.538134,,,
92,2 sp,-36.963828,-5.538134,,,
109,2 sp,-36.964777,-5.537956,,,
110,2 sp,-36.964370,-5.537955,,,
111,2 sp,-36.964235,-5.537954,,,
113,2 sp,-36.963829,-5.537953,,,
114,2 sp,-36.963693,-5.537953,,,
124,2 sp,-36.964236,-5.537864,,,
122,2 sp,-36.963964,-5.537863,,,
