plot,div,comp,cresc.biomassa,SLA,altura_aerea_cm,t_dens,t_capac_arm_casca,r_capac_arm_casca,comp_raiz_cm,r_dens,SRA,dist_lag_m
1,1,n,9.0263125,19.651,65.6,0.625,2.723,2.687,97.3,0.643,29.644,#N/A
2,1,o,17.19666669,29.631,48.1,0.646,2.465,2.584,100.4,0.666,15.046,#N/A
3,4,aab,19.38904348,25.878,95.625,0.577,3.177,3.538,98.35,0.51025,25.876,861.54
4,16,ccc,23.27050447,22.7813125,81.46,0.6171875,2.6480625,3.5781875,94.6975,0.5039375,21.88425,872.8
5,8,bbf,47.81002601,21.023125,83.5575,0.6335,2.56975,4.09175,95.7575,0.486625,22.919,864.7
6,2,aa,31.842,32.551,70.4,0.4205,3.7395,4.366,95.35,0.3175,33.1135,860.6
7,1,e,4.4327,27.494,81.7,0.594,2.755,7.276,73,0.244,16.147,#N/A
8,2,bb,111.8292186,19.124,123.65,0.836,2.1505,2.132,108,0.621,21.2905,839.92
10,1,e,1.833071429,27.494,81.7,0.594,2.755,7.276,73,0.244,16.147,#N/A
11,1,a,15.51647059,35.072,79.2,0.274,3.318,5.747,95,0.145,46.063,#N/A
12,2,cc,4.750181818,17.251,78.95,0.8115,2.012,1.683,95.1,0.703,12.866,844.64
13,2,dd,17.09847916,29.4665,127.3,0.596,3.3475,2.9885,107.8,0.5245,21.6025,844.1
14,16,ccc,47.85303865,22.7813125,81.46,0.6171875,2.6480625,3.5781875,94.6975,0.5039375,21.88425,829.38
15,4,aai,14.89307246,25.80625,94.75,0.64,2.8315,3.2345,104.4,0.56475,18.6395,828.32
16,8,bbf,56.21047627,21.023125,83.5575,0.6335,2.56975,4.09175,95.7575,0.486625,22.919,812.89
17,1,b,0.678333333,18.175,147.3,0.816,1.842,1.877,108.6,0.797,18.821,#N/A
18,2,ee,117.6143336,31.947,69.85,0.255,3.064,5.7255,87.58,0.1865,34.312,821.93
