ano,linha,plot,div,planta,especie,status,altura,n_fol,LA,biomassa,ano1,linha1,plot1,div1,planta1,especie1,status1,altura1,n_fol1,LA1,biomassa1,cresc.altura,c.biomassa,c.biomassa1,cresc.biomassa,cresc.nfol
2017,1,1,1,P00101,mofumbu,M,0.62,5,5361.18,0.278,2018,1,1,1,P00101,mofumbu,V,0.64,3,5361.18,0.278,0.032258064516129,1.39,0.834,-0.4,-0.4
2017,1,1,1,P00102,mofumbu,V,1.63,15,5361.18,0.278,2018,1,1,1,P00102,mofumbu,V,0.78,38,5361.18,0.278,-0.521472392638037,4.17,10.564,1.53333333333333,1.53333333333333
2017,1,1,1,P00103,mofumbu,V,1.66,151,5361.18,0.278,2018,1,1,1,P00103,mofumbu,V,0.98,33,5361.18,0.278,-0.409638554216867,41.978,9.174,-0.781456953642384,-0.781456953642384
2017,1,1,1,P00104,mofumbu,V,1.5,84,5361.18,0.278,2018,1,1,1,P00104,mofumbu,V,1.46,176,5361.18,0.278,-0.026666666666667,23.352,48.928,1.0952380952381,1.0952380952381
2017,2,1,1,P00105,mofumbu,M,0.78,2,5361.18,0.278,2018,2,1,1,P00105,mofumbu,V,0.68,30,5361.18,0.278,-0.128205128205128,0.556,8.34,14,14
2017,2,1,1,P00106,mofumbu,M,0.64,13,5361.18,0.278,2018,2,1,1,P00106,mofumbu,V,0.6,41,5361.18,0.278,-0.0625,3.614,11.398,2.15384615384615,2.15384615384615
2017,2,1,1,P00107,mofumbu,V,1.9,76,5361.18,0.278,2018,2,1,1,P00107,mofumbu,V,1.8,109,5361.18,0.278,-0.052631578947368,21.128,30.302,0.43421052631579,0.434210526315789
2017,2,1,1,P00108,mofumbu,V,1.44,206,5361.18,0.278,2018,2,1,1,P00108,mofumbu,V,1.46,108,5361.18,0.278,0.013888888888889,57.268,30.024,-0.475728155339806,-0.475728155339806
2017,3,1,1,P00109,mofumbu,V,1.6,1,5361.18,0.278,2018,3,1,1,P00109,mofumbu,V,0.56,37,5361.18,0.278,-0.65,0.278,10.286,36,36
2017,3,1,1,P00110,mofumbu,V,1.9,107,5361.18,0.278,2018,3,1,1,P00110,mofumbu,V,1.71,238,5361.18,0.278,-0.1,29.746,66.164,1.22429906542056,1.22429906542056
2017,3,1,1,P00111,mofumbu,V,1.13,37,5361.18,0.278,2018,3,1,1,P00111,mofumbu,V,1.14,62,5361.18,0.278,0.008849557522124,10.286,17.236,0.675675675675676,0.675675675675676
2017,3,1,1,P00112,mofumbu,V,0.65,24,5361.18,0.278,2018,3,1,1,P00112,mofumbu,V,0.65,14,5361.18,0.278,0,6.672,3.892,-0.416666666666667,-0.416666666666667
2017,4,1,1,P00113,mofumbu,V,1.64,89,5361.18,0.278,2018,4,1,1,P00113,mofumbu,V,1.36,148,5361.18,0.278,-0.170731707317073,24.742,41.144,0.662921348314607,0.662921348314607
2017,4,1,1,P00114,mofumbu,V,1.24,89,5361.18,0.278,2018,4,1,1,P00114,mofumbu,V,1.25,113,5361.18,0.278,0.008064516129032,24.742,31.414,0.269662921348315,0.269662921348315
2017,4,1,1,P00115,mofumbu,V,1.36,108,5361.18,0.278,2018,4,1,1,P00115,mofumbu,V,1.39,177,5361.18,0.278,0.022058823529412,30.024,49.206,0.638888888888889,0.638888888888889
2017,4,1,1,P00116,mofumbu,V,0.87,23,5361.18,0.278,2018,4,1,1,P00116,mofumbu,V,0.98,55,5361.18,0.278,0.126436781609195,6.394,15.29,1.39130434782609,1.39130434782609
2017,5,1,1,P00117,mofumbu,V,1.43,102,5361.18,0.278,2018,5,1,1,P00117,mofumbu,V,1.34,153,5361.18,0.278,-0.062937062937063,28.356,42.534,0.5,0.5
2017,5,1,1,P00118,mofumbu,V,1.11,181,5361.18,0.278,2018,5,1,1,P00118,mofumbu,V,1.08,162,5361.18,0.278,-0.027027027027027,50.318,45.036,-0.104972375690608,-0.104972375690608
2017,5,1,1,P00119,mofumbu,V,1.61,126,5361.18,0.278,2018,5,1,1,P00119,mofumbu,V,1.57,188,5361.18,0.278,-0.024844720496894,35.028,52.264,0.492063492063492,0.492063492063492
2017,5,1,1,P00120,mofumbu,V,1.63,101,5361.18,0.278,2018,5,1,1,P00120,mofumbu,V,1.6,198,5361.18,0.278,-0.01840490797546,28.078,55.044,0.96039603960396,0.96039603960396
2017,6,1,1,P00121,mofumbu,V,1.58,87,5361.18,0.278,2018,6,1,1,P00121,mofumbu,V,1.42,164,5361.18,0.278,-0.10126582278481,24.186,45.592,0.885057471264368,0.885057471264368
2017,6,1,1,P00122,mofumbu,V,0.73,66,5361.18,0.278,2018,6,1,1,P00122,mofumbu,V,0.74,87,5361.18,0.278,0.013698630136986,18.348,24.186,0.318181818181818,0.318181818181818
2017,6,1,1,P00123,mofumbu,V,1.59,57,5361.18,0.278,2018,6,1,1,P00123,mofumbu,V,1.31,90,5361.18,0.278,-0.176100628930818,15.846,25.02,0.578947368421053,0.578947368421053
