plot,div,especie,altura_aerea_cm,comp_raiz_cm,SLA,LA,t_capac_arm_lenho,t_capac_arm_casca,t_dens,r_capac_arm_casca,r_capac_arm_lenho,r_dens,SRA
3,4,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
3,4,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
3,4,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
3,4,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
3,4,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
3,4,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
3,4,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
3,4,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
4,16,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
4,16,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
6,2,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
6,2,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
6,2,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
6,2,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
6,2,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
6,2,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
6,2,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
6,2,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
6,2,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
6,2,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
6,2,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
6,2,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
6,2,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
6,2,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
6,2,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
6,2,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
11,1,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
11,1,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
11,1,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
11,1,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
11,1,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
11,1,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
11,1,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
11,1,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
11,1,algodao,79.2,95,35.072 ,7278.320 ,3.042 ,3.318 ,0.274 ,5.747 ,5.117 ,0.145 ,46.063 
