PLOT,DIV,COMP,TOTAL_PLANTAS,N_VIVAS,N_MORTAS,PORC_VIVA,N_INSETO,PORC_INSETO,N_TREPADEIRA,PORC_TREPADEIRA,ALTURA_MEDIA1,ALTURA_MEDIA2,CRESC,FOLHAS,F_HERB,PORC_HERB
1,1,n,32,32,0,100,10,31,2,6,0.8,1.063,0.263,3224,3072,95
2,1,o,32,25,7,78,8,32,5,20,0.82,0.669,-0.151,1795,1709,95
3,4,aab,32,28,4,88,13,46,19,68,0.98,1.249,0.269,6146,4724,77
4,16,ccc,32,32,0,100,17,53,1,3,0.899,1.342,0.443,7552,6474,86
5,8,bbf,32,30,2,94,17,57,7,23,0.975,1.11,0.135,9012,8809,98
6,2,aa,32,31,1,97,15,48,10,32,0.569,1.117,0.548,13186,12250,93
7,1,e,32,28,4,88,3,11,13,46,1.23,0.502,-0.728,401,359,90
8,2,bb,32,29,3,91,13,45,16,55,0.919,1.451,0.532,17786,940,5
10,1,e,32,31,1,97,1,3,2,6,1.031,0.531,-0.5,372,303,81
11,1,a,32,30,2,94,17,57,8,27,1.194,1.115,-0.079,1451,1106,76
12,2,cc,32,32,0,100,7,22,10,31,0.942,1.098,0.156,1196,1123,94
13,2,dd,32,32,0,100,25,78,12,38,0.833,1.478,0.645,11655,10914,94
14,16,ccc,32,26,6,81,12,46,18,69,0.542,0.998,0.456,6729,5837,87
15,4,aai,32,24,8,75,13,54,2,8,0.506,1.04,0.534,5585,4518,81
16,8,bbf,32,29,3,91,7,24,7,24,0.468,1.041,0.573,7574,3484,46
17,1,b,32,31,1,97,3,10,15,48,1.103,1.156,0.053,796,325,41
18,2,ee,32,29,3,91,11,38,4,14,1.049,0.943,-0.106,18672,1305,7
19,16,ccc,32,28,4,88,12,43,6,21,0.962,0.992,0.03,9519,8208,86
20,1,b,32,31,1,97,4,13,1,3,0.781,1.02,0.239,1548,1001,65
21,1,f,32,30,2,94,8,27,1,3,0.865,0.597,-0.268,997,889,89
22,8,bbe,32,30,2,94,17,57,6,20,0.899,1.087,0.188,10132,5298,52
23,1,i,32,26,6,81,6,23,14,54,0.986,0.579,-0.407,502,402,80
24,2,aa,32,31,1,97,15,48,18,58,0.943,1.188,0.245,9597,7765,81
25,16,ccc,32,31,1,97,14,45,8,26,0.929,1.149,0.22,9147,6673,73
26,1,l,32,32,0,100,22,69,10,31,0.786,2.01,1.224,46301,16473,36
27,4,aad,32,29,3,91,9,31,10,34,1.109,0.749,-0.36,1282,1054,82
28,8,bbe,32,31,1,97,12,39,7,23,0.976,0.983,0.007,6166,4365,71
29,16,ccc,32,31,1,97,14,45,5,16,0.906,0.982,0.076,2436,1087,45
30,1,d,32,26,6,81,3,12,3,12,0.785,0.569,-0.216,299,289,97
31,1,p,32,29,3,91,9,31,21,72,0.976,0.566,-0.41,1851,1687,91
32,4,aab,32,28,4,88,19,68,6,21,1.26,1.285,0.025,12411,6708,54
33,2,ff,32,30,2,94,13,43,3,10,0.98,1.225,0.245,9115,3319,36
34,2,gg,32,29,3,91,19,66,2,7,1.05,0.758,-0.292,636,609,96
36,2,hh,32,31,1,97,21,68,11,35,1.223,1.166,-0.057,3088,1781,58
37,2,ii,32,26,6,81,9,35,2,8,1.56,0.994,-0.566,22750,751,3
38,1,j,32,30,2,94,20,67,8,27,1.395,0.734,-0.661,16341,10054,62
39,16,ccc,32,30,2,94,12,40,10,33,0.971,1.025,0.054,12116,6198,51
40,4,aah,32,32,0,100,13,41,24,75,0.984,1.048,0.064,11628,3241,28
41,1,g,32,30,2,94,6,20,8,27,1.035,0.83,-0.205,114,102,89
42,2,ii,32,29,3,91,11,38,7,24,0.872,1.008,0.136,1090,416,38
43,2,ee,32,32,0,100,10,31,11,34,0.938,0.951,0.013,2445,1697,69
44,1,n,32,31,1,97,14,45,27,87,0.916,0.905,-0.011,3818,2870,75
