Estacao,Data,Hora,EvapoBHReal,InsolacaoTotal,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia
82590,31/01/1980,0,,184.5,5,60.6,35.704167,24.383333
82590,29/02/1980,0,,,16,206.1,33.595833,23.229167
82590,31/03/1980,0,,202.8,10,118,32.507407,23.859259
82590,30/04/1980,0,,240.1,13,30.5,33.982143,
82590,31/05/1980,0,,263.2,4,34.2,34.306667,
82590,30/06/1980,0,,225.5,6,28.4,33.596552,
82590,31/07/1980,0,,241.9,3,2.3,34.144828,
82590,31/08/1980,0,,256.6,,0,,22.785185
82590,30/09/1980,0,,271.8,1,0.3,,23.141379
82590,31/10/1980,0,,293,1,6.9,,23.241935
82590,30/11/1980,0,,265,0,0,,23.213333
82590,31/12/1980,0,,249.4,2,3.8,35.581818,23.503333
82590,31/01/1981,0,,,5,13.3,35.821739,24.247826
82590,28/02/1981,0,,,4,34.8,35.422727,24.045455
82590,31/03/1981,0,,,13,272.8,31.82381,23.452381
82590,30/04/1981,0,,215.3,7,17.6,32.970833,23.4625
82590,31/05/1981,0,,,2,5.2,33.543478,23.791304
82590,30/06/1981,0,,,1,5.9,33.710526,22.415789
82590,31/07/1981,0,,,1,5.6,32.975,22.2
82590,31/08/1981,0,,,,0,34.335294,22.7
82590,30/09/1981,0,,,,0,34.45,22.75
82590,31/10/1981,0,,311.6,,0,36.78,22.84375
82590,30/11/1981,0,,290.9,1,12.3,36.306897,
82590,31/12/1981,0,,216.3,4,39.6,35.275,
82590,31/01/1982,0,,253.4,1,0.4,35.886667,23.768966
82590,28/02/1982,0,,211.1,6,101.2,35.2,23.673077
82590,31/03/1982,0,,214.6,11,70.3,34.034483,23.637931
82590,30/04/1982,0,,191.4,10,122,33.856,23.964
82590,31/05/1982,0,,195.5,10,65.6,31.461538,23.203846
82590,30/06/1982,0,,197.4,6,9.9,32.738462,22.503846
82590,31/07/1982,0,,,4,24.8,32.427273,22.418182
82590,31/08/1982,0,,212.2,3,4.7,33.945833,21.920833
82590,30/09/1982,0,,228.8,1,6.1,34.957692,22.580769
82590,31/10/1982,0,,240.1,,0,36.103846,22.965385
82590,30/11/1982,0,,249.6,,0,36.442308,23.123077
82590,31/12/1982,0,,278.7,2,26.7,35.976667,23.76
82590,31/01/1983,0,,235.6,2,15.2,36.167742,24.380645
82590,28/02/1983,0,,191.6,10,145.5,34.817857,24.067857
82590,31/03/1983,0,,233.7,13,112.3,35.645161,24.277419
82590,30/04/1983,0,,250.7,11,70.6,34.483333,23.553333
82590,31/05/1983,0,,256.8,9,49.7,34.893548,23.396774
82590,30/06/1983,0,,260.3,3,7.1,34.463333,22.893333
82590,31/07/1983,0,,292.7,2,0.6,34.641935,22.419355
82590,31/08/1983,0,,275.1,2,7.5,34.577419,23.154839
82590,30/09/1983,0,,288.5,1,1.7,36.042105,22.846667
82590,31/10/1983,0,,283.3,1,0.3,,23.13871
82590,30/11/1983,0,,296.5,0,0,,22.823333
82590,31/12/1983,0,,265.2,0,0,36.672222,23.158065
82590,31/01/1984,0,,260.7,6,24.4,36.06129,24.190323
82590,29/02/1984,0,,260.3,8,79.1,36.382759,23.924138
82590,31/03/1984,0,,216.3,18,228.2,33.593548,23.877419
82590,30/04/1984,0,,187.6,21,140.2,31.92,23.816667
82590,31/05/1984,0,,229.7,19,110.9,30.941935,23.322581
82590,30/06/1984,0,,253.8,8,39.3,31.516667,22.31
82590,31/07/1984,0,,252.41,7,48.2,32.506452,22.112903
82590,31/08/1984,0,,274.9,5,23,33.932258,22.006452
82590,30/09/1984,0,,297.8,2,1.4,35.366667,22.59
82590,31/10/1984,0,,301.7,2,7.7,36.206452,22.916129
82590,30/11/1984,0,,288.5,0,0,36.793333,23.31
82590,31/12/1984,0,,305.6,0,0,37.025806,23.764516
82590,31/01/1985,0,,200.7,16,78.7,35.080645,23.990323
82590,28/02/1985,0,,189.1,19,323,31.782143,23.053571
82590,31/03/1985,0,,183.3,27,367.8,31.722581,23.154839
82590,30/04/1985,0,,140.7,26,501.3,30.946667,23.083333
82590,31/05/1985,0,,227.1,16,140.4,31.425806,23.106452
82590,30/06/1985,0,,235,10,92.3,31.2,21.933333
82590,31/07/1985,0,,209.8,13,197.1,30.641935,21.212903
82590,31/08/1985,0,,289.1,5,19.2,32.703226,20.751613
82590,30/09/1985,0,,296.6,1,0.3,34.9,21.513333
82590,31/10/1985,0,,314.4,0,0,35.874194,21.177419
82590,30/11/1985,0,,289.7,0,0,36.03,22.226667
82590,31/12/1985,0,,209.6,5,73.5,34.403226,23.054839
82590,28/02/1986,0,,,16,77.1,32.382143,22.589286
82590,31/03/1986,0,,190.9,21,298.9,31.619355,22.641935
82590,31/05/1986,0,,255.4,13,232.2,31.748387,22.564516
82590,30/09/1986,0,,237.2,0,0,35.243333,22.396667
82590,30/11/1986,0,,,4,20.8,36.14,22.756667
82590,31/12/1986,0,,,2,12.1,36.248387,23.422581
82590,31/01/1987,0,,,8,215.2,35.406452,23.190323
82590,31/03/1987,0,,,20,367.6,32.877419,23.66129
82590,30/04/1987,0,,,21,286.6,32.596667,23.483333
82590,30/06/1987,0,,,11,40.3,33.32,23.163333
82590,31/07/1987,0,,,0,0,34.435484,22.848387
82590,30/09/1987,0,,301.2,0,0,36.453333,22.966667
82590,31/10/1987,0,,317.9,0,0,37.206452,23.235484
82590,31/12/1987,0,,321.4,1,1.2,37.367742,23.825806
82590,29/02/1988,0,,219.7,8,37.5,36.410345,24.668966
82590,30/04/1988,0,,,19,276.7,32.726667,23.833333
82590,31/07/1988,0,,246.3,6,86,32.36129,21.96129
82590,31/08/1988,0,,293.2,1,2.3,34.6,21.990323
82590,30/11/1988,0,,276.6,0,0,36.656667,23.183333
82590,31/08/1989,0,,267.5,7,17.6,33.764516,21.68
82590,31/10/1989,0,,301.7,0,0,36.487097,22.909677
82590,31/01/1990,0,,295.4,1,1.5,35.580645,22.980645
82590,28/02/1990,0,,,,0,,
82590,31/05/1990,0,,265,9,98,33.76129,23.203226
82590,31/10/1997,0,,297.9,0,0,35.070968,25.467742
82590,30/11/1997,0,,306.4,0,0,35.08,25.556667
82590,31/12/1997,0,,285.4,4,29.2,35.2,26.435484
82590,31/01/1998,0,,151.2,13,120.1,33.229032,26.625806
82590,28/02/1998,0,,,5,37.1,34.592857,26.692857
82590,31/03/1998,0,,279.7,11,196.7,34.603226,27.216129
82590,30/04/1998,0,,290.5,6,25.6,34.856667,27.18
82590,31/05/1998,0,,253.8,2,4.9,35.264516,26.954839
82590,30/06/1998,0,,259.8,2,0.7,34.306667,25.97
82590,31/07/1998,0,,251.1,5,35.7,33.23871,25.387097
82590,31/08/1998,0,,299.7,2,20.6,34.032258,24.993548
82590,30/09/1998,0,,315.3,0,0,35.13,24.996667
82590,31/10/1998,0,,328.9,1,0.3,35.735484,25.254839
82590,30/11/1998,0,,287.4,1,0.1,35.143333,25.36
82590,31/12/1998,0,,313,2,1.9,35.590323,25.551613
82590,31/01/1999,0,,267.1,3,10.1,34.483871,25.616129
82590,28/02/1999,0,,237,8,38.1,34.664286,25.925
82590,31/03/1999,0,,253.2,15,97.8,32.767742,25.812903
82590,30/04/1999,0,,247.2,13,158.7,32.54,25.293333
82590,31/05/1999,0,,273,8,93.6,31.251613,24.893548
82590,30/06/1999,0,,291.5,2,15.1,32.93,24.546667
82590,31/07/1999,0,,287.5,1,0.2,33.26129,24.43871
82590,31/08/1999,0,,318.1,0,0,33.8,24.393548
82590,30/09/1999,0,,312,2,4,34.626667,24.796667
82590,31/10/1999,0,,320.8,0,0,34.777419,25.041935
82590,30/11/1999,0,,284.9,1,16.3,34.893333,25.39
82590,31/12/1999,0,,242.1,8,29,33.919355,25.709677
82590,31/01/2000,0,,263.8,13,157.4,32.119355,25.845161
82590,29/02/2000,0,,235.1,12,164.1,31.551724,25.458621
82590,31/03/2000,0,,269.4,13,73.8,31.525806,26.135484
82590,30/04/2000,0,,259.4,23,327,30.806667,25.49
82590,31/05/2000,0,,265.6,15,120.1,30.774194,25.16129
82590,30/06/2000,0,,233.1,8,76.7,31.153333,24.79
82590,31/07/2000,0,,215.3,10,26.6,31.841935,24.645161
82590,31/08/2000,0,,272.2,7,91.7,31.577419,24.012903
82590,30/09/2000,0,,275.5,6,21.9,33.59,23.863333
82590,31/03/2001,0,,256.3,12,106.9,34.36129,23.835484
82590,31/08/2001,0,,,,0,,
