Estacao,Data,Hora,EvapoBHReal,InsolacaoTotal,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia
82691,31/01/1980,0,,166.5,3,9,33.962069,23.093103
82691,29/02/1980,0,,81.4,9,119.8,32.354167,22.591667
82691,31/03/1980,0,,153.7,8,65.9,31.06,21.836
82691,30/04/1980,0,,,7,47,32.721739,21.473913
82691,31/05/1980,0,,196.6,3,1.9,32.792857,22.010714
82691,30/06/1980,0,,144.1,5,34.1,30.896,21.068
82691,31/07/1980,0,,213.2,3,3.4,31.263333,21.076667
82691,31/08/1980,0,,,,0,32.294737,21.410526
82691,30/09/1980,0,,228.5,,0,33.755556,21.722222
82691,31/10/1980,0,,224.6,2,1.2,33.82069,22.124138
82691,30/11/1980,0,,211.4,4,1.3,33.86,22.123333
82691,31/12/1980,0,,220.2,2,2.1,34.242857,22.207143
82691,31/01/1981,0,,141.9,9,202,32.766667,22.177778
82691,28/02/1981,0,,193.1,5,28.7,33.129167,22.208333
82691,31/03/1981,0,,139.2,15,187.7,31.044828,22.072414
82691,30/04/1981,0,,234,6,82.1,30.6,21.376667
82691,31/05/1981,0,,164.4,3,35.5,31.467857,22.039286
82691,30/06/1981,0,,187.1,2,2.2,30.876923,20.173077
82691,31/07/1981,0,,211.6,1,1,30.869231,20.142308
82691,31/08/1981,0,,237,,0,31.814286,20.285714
82691,30/09/1981,0,,243.2,,0,32.492857,21.089286
82691,31/10/1981,0,,278.3,,0,34.29,21.336667
82691,30/11/1981,0,,249.1,2,18.2,33.896552,21.875862
82691,31/12/1981,0,,,3,11.4,32.730769,22.984615
82691,31/01/1982,0,,179.3,2,19.6,33.762963,22.703704
82691,28/02/1982,0,,164.9,4,11,33.988462,23.192308
82691,31/03/1982,0,,185.4,9,129.4,32.562069,22.444828
82691,30/04/1982,0,,163.5,7,180,32.65,22.645833
82691,31/05/1982,0,,196.2,9,92.2,29.510345,21.058621
82691,30/06/1982,0,,198.4,8,14.7,30.334483,20.775862
82691,31/07/1982,0,,152.8,5,31.6,30.074074,20.848148
82691,31/08/1982,0,,239.9,5,8.3,31.003226,20.429032
82691,30/09/1982,0,,219.5,,0,32.777778,21.274074
82691,31/10/1982,0,,277.3,,0,34.236667,21.583333
82691,30/11/1982,0,,263.5,3,41.8,33.686667,22.063333
82691,31/12/1982,0,,244.3,5,11,33.48,22.656667
82691,31/01/1983,0,,199.2,1,17.2,34.158065,22.948387
82691,28/02/1983,0,,171.1,9,88.1,32.314286,22.885714
82691,31/03/1983,0,,185.7,9,59.8,33.358065,23.322581
82691,30/04/1983,0,,218.9,5,17,33.693333,23.003333
82691,31/05/1983,0,,198.6,8,8.5,32.86129,22.706452
82691,30/06/1983,0,,221.7,6,7.9,31.91,21.43
82691,31/07/1983,0,,241.3,0,0,31.951613,21.370968
82691,31/08/1983,0,,232.9,3,3.8,31.745161,21.1
82691,30/09/1983,0,,264.9,0,0,33.37,21.56
82691,31/10/1983,0,,274.3,0,0,33.609677,21.883871
82691,30/11/1983,0,,267.4,0,0,34.48,21.563333
82691,31/12/1983,0,,233.2,2,8.6,34.358065,22.367742
82691,31/01/1984,0,,223,6,81.2,33.887097,22.277419
82691,29/02/1984,0,,224.7,4,27,34.717241,22.810345
82691,31/03/1984,0,,181.2,19,210.8,31.493548,22.045161
82691,30/04/1984,0,,141.5,21,379,29.44,21.643333
82691,31/05/1984,0,,160.8,16,153.8,28.729032,21.035484
82691,30/06/1984,0,,232.1,7,10.7,30.066667,20.186667
82691,31/07/1984,0,,196.3,8,58.3,29.958065,20.064516
82691,31/08/1984,0,,249.4,6,9.1,30.964516,20.312903
82691,30/09/1984,0,,265.5,2,2.2,32.946667,21.023333
82691,31/10/1984,0,,251.1,2,2.6,33.454839,21.93871
82691,30/11/1984,0,,266.9,1,7.5,34.15,21.773333
82691,31/12/1984,0,,275,1,0.9,35.080645,21.993548
82691,31/01/1985,0,,175.5,13,116.8,32.764516,22.693548
82691,28/02/1985,0,,127.8,21,381.7,29.642857,20.896429
82691,31/03/1985,0,,140.8,19,177.6,29.977419,21.483871
82691,30/04/1985,0,,121.4,27,413,28.946667,21.283333
82691,31/05/1985,0,,187.1,12,122.3,29.535484,20.745161
82691,30/06/1985,0,,195.3,14,68.8,29.196667,19.816667
