especie,med_mono_biom,med_cresc
imbira,0.386918519,-0.111518519
juca,0.975560606,-0.116714286
pereiro,1.052903707,0.092555556
cumaru,1.54422381,-0.108412698
feijao,1.575375325,0.274622655
imburana,2.615099614,0.068291925
burra,5.236345191,-0.009660079
cating,6.02752634,0.124855478
algodao,9.167601307,0.249683007
mofumbu,9.585252885,-0.045570513
ipe,11.59168396,0.298194444
mororo,13.1248693,0.099691877
angico,13.39025031,0.039637973
ju_branca,15.92634377,0.192995338
joazeiro,22.41874537,0.203842593
ju_preta,190.0383821,0.613449821
