"","plot","div","especie","M","V","total","sob_porc_especie"
"1",1,"1","mofumbu",3,29,32,0.90625
"2",2,"1","mororo",18,14,32,0.4375
"3",3,"4","algodao",1,7,8,0.875
"4",3,"4","angico",1,7,8,0.875
"5",3,"4","burra",4,4,8,0.5
"6",3,"4","joazeiro",2,6,8,0.75
"7",4,"16","algodao",0,2,2,1
"8",4,"16","angico",0,2,2,1
"9",4,"16","burra",0,2,2,1
"10",4,"16","cating",0,2,2,1
"11",4,"16","cumaru",2,0,2,0
"12",4,"16","feijao",0,2,2,1
"13",4,"16","imbira",0,2,2,1
"14",4,"16","imburana",0,2,2,1
"15",4,"16","ipe",2,0,2,0
"16",4,"16","joazeiro",0,2,2,1
"17",4,"16","ju_branca",0,2,2,1
"18",4,"16","ju_preta",0,2,2,1
"19",4,"16","juca",0,2,2,1
"20",4,"16","mofumbu",0,2,2,1
"21",4,"16","mororo",0,2,2,1
"22",4,"16","pereiro",0,2,2,1
"23",5,"8","cumaru",2,2,4,0.5
"24",5,"8","feijao",2,2,4,0.5
"25",5,"8","imburana",1,3,4,0.75
"26",5,"8","ipe",2,2,4,0.5
"27",5,"8","ju_branca",0,4,4,1
"28",5,"8","ju_preta",0,4,4,1
"29",5,"8","mofumbu",0,4,4,1
"30",5,"8","pereiro",0,4,4,1
"31",6,"2","algodao",5,11,16,0.6875
"32",6,"2","joazeiro",3,13,16,0.8125
"33",7,"1","cumaru",21,11,32,0.34375
"34",8,"2","angico",2,14,16,0.875
"35",8,"2","ju_preta",1,15,16,0.9375
"36",9,"ctrl","ctrl",0,0,0,NA
"37",10,"1","cumaru",15,17,32,0.53125
"38",11,"1","algodao",15,17,32,0.53125
"39",12,"2","cating",8,8,16,0.5
"40",12,"2","juca",4,12,16,0.75
"41",13,"2","joazeiro",2,14,16,0.875
"42",13,"2","ju_branca",0,16,16,1
"43",14,"16","algodao",0,2,2,1
"44",14,"16","angico",2,0,2,0
"45",14,"16","burra",0,2,2,1
"46",14,"16","cating",1,1,2,0.5
"47",14,"16","cumaru",1,1,2,0.5
"48",14,"16","feijao",1,1,2,0.5
"49",14,"16","imbira",1,1,2,0.5
"50",14,"16","imburana",0,2,2,1
"51",14,"16","ipe",2,0,2,0
"52",14,"16","joazeiro",0,2,2,1
"53",14,"16","ju_branca",0,2,2,1
"54",14,"16","ju_preta",0,2,2,1
"55",14,"16","juca",1,1,2,0.5
"56",14,"16","mofumbu",1,1,2,0.5
"57",14,"16","mororo",2,0,2,0
"58",14,"16","pereiro",0,2,2,1
"59",15,"4","ipe",6,2,8,0.25
"60",15,"4","joazeiro",2,6,8,0.75
"61",15,"4","ju_branca",2,6,8,0.75
"62",15,"4","mororo",3,5,8,0.625
"63",16,"8","cumaru",3,1,4,0.25
"64",16,"8","feijao",4,0,4,0
"65",16,"8","imburana",0,4,4,1
"66",16,"8","ipe",3,1,4,0.25
"67",16,"8","ju_branca",0,4,4,1
"68",16,"8","ju_preta",1,3,4,0.75
"69",16,"8","mofumbu",0,4,4,1
"70",16,"8","pereiro",1,3,4,0.75
"71",17,"1","angico",11,21,32,0.65625
"72",18,"2","algodao",7,9,16,0.5625
"73",18,"2","imburana",1,15,16,0.9375
"74",19,"16","algodao",1,1,2,0.5
"75",19,"16","angico",0,2,2,1
"76",19,"16","burra",2,0,2,0
"77",19,"16","cating",0,2,2,1
"78",19,"16","cumaru",1,1,2,0.5
"79",19,"16","feijao",0,2,2,1
"80",19,"16","imbira",0,2,2,1
"81",19,"16","imburana",0,2,2,1
"82",19,"16","ipe",2,0,2,0
"83",19,"16","joazeiro",1,1,2,0.5
"84",19,"16","ju_branca",1,1,2,0.5
"85",19,"16","ju_preta",0,2,2,1
"86",19,"16","juca",2,0,2,0
"87",19,"16","mofumbu",0,2,2,1
"88",19,"16","mororo",0,2,2,1
"89",19,"16","pereiro",1,1,2,0.5
"90",20,"1","angico",10,22,32,0.6875
"91",21,"1","feijao",12,20,32,0.625
"92",22,"8","angico",0,4,4,1
"93",22,"8","burra",1,3,4,0.75
"94",22,"8","imburana",0,4,4,1
"95",22,"8","ipe",4,0,4,0
"96",22,"8","joazeiro",1,3,4,0.75
"97",22,"8","ju_preta",0,4,4,1
"98",22,"8","mororo",0,4,4,1
"99",22,"8","pereiro",0,4,4,1
"100",23,"1","ipe",22,10,32,0.3125
"101",24,"2","algodao",3,13,16,0.8125
"102",24,"2","joazeiro",4,12,16,0.75
"103",25,"16","algodao",0,2,2,1
"104",25,"16","angico",1,1,2,0.5
"105",25,"16","burra",1,1,2,0.5
"106",25,"16","cating",0,2,2,1
"107",25,"16","cumaru",0,2,2,1
"108",25,"16","feijao",0,2,2,1
"109",25,"16","imbira",1,1,2,0.5
"110",25,"16","imburana",0,2,2,1
"111",25,"16","ipe",1,1,2,0.5
"112",25,"16","joazeiro",1,1,2,0.5
"113",25,"16","ju_branca",0,2,2,1
"114",25,"16","ju_preta",0,2,2,1
"115",25,"16","juca",1,1,2,0.5
"116",25,"16","mofumbu",0,2,2,1
"117",25,"16","mororo",2,0,2,0
"118",25,"16","pereiro",0,2,2,1
"119",26,"1","ju_preta",1,31,32,0.96875
"120",27,"4","angico",3,5,8,0.625
"121",27,"4","cating",2,6,8,0.75
"122",27,"4","feijao",1,7,8,0.875
"123",27,"4","pereiro",1,7,8,0.875
"124",28,"8","angico",3,1,4,0.25
"125",28,"8","burra",3,1,4,0.25
"126",28,"8","imburana",0,4,4,1
"127",28,"8","ipe",1,3,4,0.75
"128",28,"8","joazeiro",2,2,4,0.5
"129",28,"8","ju_preta",0,4,4,1
"130",28,"8","mororo",3,1,4,0.25
"131",28,"8","pereiro",0,4,4,1
"132",29,"16","algodao",0,2,2,1
"133",29,"16","angico",1,1,2,0.5
"134",29,"16","burra",2,0,2,0
"135",29,"16","cating",1,1,2,0.5
"136",29,"16","cumaru",1,1,2,0.5
"137",29,"16","feijao",2,0,2,0
"138",29,"16","imbira",1,1,2,0.5
"139",29,"16","imburana",2,0,2,0
"140",29,"16","ipe",2,0,2,0
"141",29,"16","joazeiro",2,0,2,0
"142",29,"16","ju_branca",0,2,2,1
"143",29,"16","ju_preta",2,0,2,0
"144",29,"16","juca",0,2,2,1
"145",29,"16","mofumbu",1,1,2,0.5
"146",29,"16","mororo",2,0,2,0
"147",29,"16","pereiro",2,0,2,0
"148",30,"1","cating",17,15,32,0.46875
"149",31,"1","pereiro",7,25,32,0.78125
"150",32,"4","algodao",2,6,8,0.75
"151",32,"4","angico",2,6,8,0.75
"152",32,"4","burra",1,7,8,0.875
"153",32,"4","joazeiro",1,7,8,0.875
"154",33,"2","angico",3,13,16,0.8125
"155",33,"2","burra",3,13,16,0.8125
"156",34,"2","cating",4,12,16,0.75
"157",34,"2","ipe",4,12,16,0.75
"158",35,"ctrl","ctrl",0,0,0,NA
"159",36,"2","juca",0,16,16,1
"160",36,"2","pereiro",5,11,16,0.6875
"161",37,"2","burra",5,11,16,0.6875
"162",37,"2","imbira",2,14,16,0.875
"163",38,"1","joazeiro",14,18,32,0.5625
"164",39,"16","algodao",0,2,2,1
"165",39,"16","angico",0,2,2,1
"166",39,"16","burra",1,1,2,0.5
"167",39,"16","cating",0,2,2,1
"168",39,"16","cumaru",1,1,2,0.5
"169",39,"16","feijao",0,2,2,1
"170",39,"16","imbira",0,2,2,1
"171",39,"16","imburana",0,2,2,1
"172",39,"16","ipe",0,2,2,1
"173",39,"16","joazeiro",0,2,2,1
"174",39,"16","ju_branca",1,1,2,0.5
"175",39,"16","ju_preta",0,2,2,1
"176",39,"16","juca",0,2,2,1
"177",39,"16","mofumbu",0,2,2,1
"178",39,"16","mororo",1,1,2,0.5
"179",39,"16","pereiro",0,2,2,1
"180",40,"4","imburana",0,8,8,1
"181",40,"4","ipe",0,8,8,1
"182",40,"4","ju_preta",0,8,8,1
"183",40,"4","pereiro",0,8,8,1
"184",41,"1","imbira",11,21,32,0.65625
"185",42,"2","burra",13,3,16,0.1875
"186",42,"2","imbira",9,7,16,0.4375
"187",43,"2","algodao",8,8,16,0.5
"188",43,"2","imburana",3,13,16,0.8125
"189",44,"1","mofumbu",6,26,32,0.8125
"190",45,"2","imburana",4,12,16,0.75
"191",45,"2","ipe",2,14,16,0.875
"192",46,"8","algodao",1,3,4,0.75
"193",46,"8","cating",1,3,4,0.75
"194",46,"8","cumaru",2,2,4,0.5
"195",46,"8","feijao",0,4,4,1
"196",46,"8","imbira",1,3,4,0.75
"197",46,"8","ju_branca",1,3,4,0.75
"198",46,"8","juca",1,3,4,0.75
"199",46,"8","mofumbu",1,3,4,0.75
"200",47,"1","angico",8,24,32,0.75
"201",48,"4","algodao",1,7,8,0.875
"202",48,"4","imbira",0,8,8,1
"203",48,"4","imburana",0,8,8,1
"204",48,"4","ju_preta",1,7,8,0.875
"205",49,"8","algodao",1,3,4,0.75
"206",49,"8","angico",1,3,4,0.75
"207",49,"8","burra",2,2,4,0.5
"208",49,"8","cating",1,2,3,0.666666666666667
"209",49,"8","imbira",1,3,4,0.75
"210",49,"8","joazeiro",3,1,4,0.25
"211",49,"8","juca",0,4,4,1
"212",49,"8","mororo",1,2,3,0.666666666666667
"213",50,"16","algodao",0,2,2,1
"214",50,"16","angico",0,2,2,1
"215",50,"16","burra",1,1,2,0.5
"216",50,"16","cating",0,2,2,1
"217",50,"16","cumaru",1,1,2,0.5
"218",50,"16","feijao",0,2,2,1
"219",50,"16","imbira",0,2,2,1
