plot,div,M,V,total,sob_porc_parcela,comp
1,1,3,29,32,0.90625,n
2,1,18,14,32,0.4375,o
3,4,8,24,32,0.75,aab
4,16,4,28,32,0.875,ccc
5,8,7,25,32,0.78125,bbf
6,2,8,24,32,0.75,aa
7,1,21,11,32,0.34375,e
8,2,3,29,32,0.90625,bb
10,1,15,17,32,0.53125,e
11,1,15,17,32,0.53125,a
12,2,12,20,32,0.625,cc
13,2,2,30,32,0.9375,dd
14,16,12,20,32,0.625,ccc
15,4,13,19,32,0.59375,aai
16,8,12,20,32,0.625,bbf
17,1,11,21,32,0.65625,b
18,2,8,24,32,0.75,ee
19,16,11,21,32,0.65625,ccc
20,1,10,22,32,0.6875,b
21,1,12,20,32,0.625,f
22,8,6,26,32,0.8125,bbe
23,1,22,10,32,0.3125,i
24,2,7,25,32,0.78125,aa
25,16,8,24,32,0.75,ccc
26,1,1,31,32,0.96875,l
27,4,7,25,32,0.78125,aad
28,8,12,20,32,0.625,bbe
29,16,21,11,32,0.34375,ccc
30,1,17,15,32,0.46875,d
31,1,7,25,32,0.78125,p
32,4,6,26,32,0.8125,aab
33,2,6,26,32,0.8125,ff
34,2,8,24,32,0.75,gg
36,2,5,27,32,0.84375,hh
37,2,7,25,32,0.78125,ii
38,1,14,18,32,0.5625,j
39,16,4,28,32,0.875,ccc
40,4,0,32,32,1,aah
41,1,11,21,32,0.65625,g
42,2,22,10,32,0.3125,ii
43,2,11,21,32,0.65625,ee
44,1,6,26,32,0.8125,n
45,2,6,26,32,0.8125,jj
46,8,8,24,32,0.75,bbc
47,1,8,24,32,0.75,b
48,4,2,30,32,0.9375,aac
49,8,10,20,30,0.666666667,bbd
50,16,5,27,32,0.84375,ccc
51,2,6,26,32,0.8125,kk
52,1,17,15,32,0.46875,i
53,2,10,22,32,0.6875,ll
54,4,14,18,32,0.5625,aaf
55,2,19,13,32,0.40625,dd
56,1,11,21,32,0.65625,k
57,2,19,13,32,0.40625,mm
59,8,18,14,32,0.4375,bbc
60,1,15,17,32,0.53125,j
61,2,16,16,32,0.5,mm
62,1,26,6,32,0.1875,e
64,2,4,28,32,0.875,nn
65,1,10,22,32,0.6875,a
66,1,5,27,32,0.84375,k
67,4,8,23,31,0.741935484,aad
68,4,3,29,32,0.90625,aai
69,1,1,31,32,0.96875,h
71,16,17,15,32,0.46875,ccc
72,2,19,13,32,0.40625,nn
73,2,17,15,32,0.46875,bb
74,2,30,2,32,0.0625,oo
75,4,7,25,32,0.78125,aac
76,4,12,20,32,0.625,aah
77,1,18,14,32,0.4375,f
78,2,5,27,32,0.84375,bb
79,8,10,22,32,0.6875,bbf
80,4,6,26,32,0.8125,aah
81,4,12,20,32,0.625,aae
82,1,9,23,32,0.71875,h
83,1,9,23,32,0.71875,m
85,8,14,18,32,0.5625,bbd
86,4,18,14,32,0.4375,aad
87,2,10,22,32,0.6875,aa
88,2,5,27,32,0.84375,ll
89,2,8,24,32,0.75,kk
90,1,14,18,32,0.5625,i
91,2,15,17,32,0.53125,pp
92,2,9,23,32,0.71875,ii
93,1,7,24,31,0.774193548,g
94,4,19,13,32,0.40625,aae
95,16,22,10,32,0.3125,ccc
96,2,17,15,32,0.46875,cc
97,4,19,13,32,0.40625,aag
98,1,2,30,32,0.9375,k
99,1,7,25,32,0.78125,c
100,1,10,22,32,0.6875,l
101,1,14,18,32,0.5625,o
102,1,11,21,32,0.65625,a
103,1,11,21,32,0.65625,n
104,1,10,22,32,0.6875,f
105,1,8,24,32,0.75,p
106,1,12,20,32,0.625,g
107,2,8,24,32,0.75,nn
108,16,7,25,32,0.78125,ccc
109,2,20,12,32,0.375,oo
110,2,5,27,32,0.84375,hh
111,2,10,22,32,0.6875,ee
112,16,10,22,32,0.6875,ccc
113,2,5,27,32,0.84375,jj
114,2,10,22,32,0.6875,kk
115,16,17,15,32,0.46875,ccc
116,1,29,3,32,0.09375,j
117,4,17,15,32,0.46875,aab
119,2,21,11,32,0.34375,pp
120,2,12,20,32,0.625,gg
121,4,8,24,32,0.75,aag
122,2,15,17,32,0.53125,dd
123,1,8,24,32,0.75,d
124,2,11,21,32,0.65625,jj
125,8,13,19,32,0.59375,bbd
126,1,5,27,32,0.84375,m
127,4,16,16,32,0.5,aai
128,1,18,14,32,0.4375,d
129,1,5,27,32,0.84375,m
130,16,14,18,32,0.5625,ccc
131,2,10,22,32,0.6875,ll
132,4,11,21,32,0.65625,aaf
133,2,23,9,32,0.28125,oo
134,1,17,15,32,0.46875,o
135,4,15,17,32,0.53125,aac
136,8,17,15,32,0.46875,bbe
137,4,20,12,32,0.375,aaf
138,4,12,20,32,0.625,aae
139,2,19,13,32,0.40625,pp
140,1,8,24,32,0.75,l
141,2,10,22,32,0.6875,cc
142,2,12,20,32,0.625,gg
143,2,10,22,32,0.6875,hh
144,1,19,13,32,0.40625,c
145,2,16,16,32,0.5,mm
146,4,15,17,32,0.53125,aag
147,1,15,17,32,0.53125,p
149,16,22,10,32,0.3125,ccc
150,2,11,21,32,0.65625,ff
151,8,15,17,32,0.53125,bbc
152,1,12,20,32,0.625,c
153,16,16,16,32,0.5,ccc
154,1,4,28,32,0.875,h
155,2,18,14,32,0.4375,ff
