"","especie","mortas","vivas","total","sobrev_porc"
"1","algodao",111,183,294,0.622448979591837
"2","angico",95,198,293,0.675767918088737
"3","burra",129,165,294,0.561224489795918
"4","cating",129,164,293,0.559726962457338
"5","ctrl",0,0,0,NA
"6","cumaru",226,68,294,0.231292517006803
"7","feijao",145,149,294,0.506802721088435
"8","imbira",95,198,293,0.675767918088737
"9","imburana",42,252,294,0.857142857142857
"10","ipe",139,155,294,0.527210884353742
"11","joazeiro",150,144,294,0.489795918367347
"12","ju_branca",50,244,294,0.829931972789116
"13","ju_preta",52,242,294,0.82312925170068
"14","juca",58,236,294,0.802721088435374
"15","mofumbu",67,227,294,0.772108843537415
"16","mororo",149,146,295,0.494915254237288
"17","pereiro",81,211,292,0.722602739726027
