"","id.sci","id","rep","idade","altura_aerea_cm","comp_raiz_cm","f_pesofresco","f_pesofresco_peciolo","f_pesofresco_sla","f_pesofresco_peciolo_SLA","t_pesofresco","t_pesofresco_vol","t_pesofresco_casca_vol","t_volume","r_presofresco","r_pesofrescoSRL_sup","pesofresco_SRL_inf","r_pesofresco_vol","r_pesofresco_casca_vol","r_volume","r_pesofresco_bioq","r_reserva","t_pesoseco","r_pesoseco","t_pesoseco_casca_vol","t_pesoseco_vol","r_pesoseco_casca_vol","r_pesoseco_vol","t_pesoenxarcado_casca_vol","t_pesoenxarcado_vol","r_pesoenxarcado_casca_vol","r_pesoenxarcado_vol","f_pesoseco","f_pesoseco_peciolo","f_pesoseco_sla","f_pesoseco_peciolo_SLA","r_pesosecoSRL_sup","pesoseco_SRL_inf","f_areaumida","f_areaumida_pec","r_areaumidasup","f_peso_fresco","f_fresco_peciolo","f_fresco_total","f_peso_seco","f_biomassa","f_seco_peciolo","f_seco_total","SLA","LA","t_peso_fresco","t_peso_seco","t_capac_arm_casca","t_capac_arm_lenho","t_dens","r_peso_fresco","r_peso_seco","r_capac_arm_casca","r_capac_arm_lenho","r_dens","SRA"
"1","C.vit","algodao",1,"6months",80,90,4.45,1.31,1.72,0.51,5.09,0.15,0.21,0.21,20.64,1.36,0.35,0.2,0.3,0.32,0.35,"s",0.81,2.13,0.033,0.041,0.0332,0.047,0.22,0.23,0.2171,0.2697,0.98,0.18,0.32,0.83,0.1,0.11,166.992,NA,50.585,6.17,1.82,7.99,1.3,0.106666666666667,1.01,2.31,52.185,5566.4,5.45,0.884,5.66666666666667,4.60975609756098,0.195238095238095,23.2,2.4202,5.53915662650602,4.73829787234043,0.146875,50.585
"2","C.vit","algodao",2,"6months",82,89,9.05,2.43,2.15,0.57,14.8,0.43,0.65,0.45,54.95,0.57,1.68,0.13,0.37,0.12,1.01,"s",3.62,10.14,0.165,0.158,0.053,0.027,0.59,0.5,0.2673,0.1344,1.86,0.42,0.5,0.1,0.1,0.13,166.363,NA,60.116,11.2,3,14.2,2.36,0.166666666666667,0.52,2.88,33.2726,5545.43333333333,15.88,3.943,2.57575757575758,2.16455696202532,0.351111111111111,58.71,10.45,4.04339622641509,3.97777777777778,0.225,60.116
"3","C.vit","algodao",3,"6months",65,106,20.99,4.18,2.91,0.63,21.51,0.76,0.79,0.83,144.67,0.57,1.72,0.42,0.44,0.44,1.07,"s",4.22,55.17,0.169,0.228,0.047,0.0676,0.74,0.92,0.3536,0.365,4.03,0.66,0.59,0.1,0.069,0.13,170.444,NA,35.573,23.9,4.81,28.71,4.62,0.196666666666667,0.76,5.38,28.888813559322,5681.46666666667,23.06,4.617,3.37869822485207,3.03508771929825,0.274698795180723,148.89,55.4836,6.52340425531915,4.39940828402367,0.153636363636364,51.5550724637681
"4","C.vit","algodao",4,"6months",94,100,27.08,6.99,4.23,1.15,40.42,1.1,1.31,1.42,145,1.24,3.43,0.23,0.4,0.2,2.45,"s",4.49,19.25,0.291,0.369,0.0358,0.0155,1,1.34,0.28,0.1247,4.84,1.01,0.79,0.14,0.19,0.43,242.817,NA,51.838,31.31,8.14,39.45,5.63,0.263333333333333,1.15,6.78,30.7363291139241,8093.9,42.83,5.15,2.43642611683849,2.63143631436314,0.259859154929577,152.75,19.9213,6.82122905027933,7.04516129032258,0.0775,27.2831578947368
"5","C.vit","algodao",5,"6months",75,90,15.08,3.48,5.27,1.19,14.92,0.73,0.76,0.95,148.5,0.74,1.47,0.84,0.73,0.9,1.87,"s",4.33,24.11,0.201,0.276,0.0709,0.1117,0.71,1.04,0.4826,0.7174,2.98,0.55,1.14,0.18,0.13,0.27,345.132,NA,53.008,20.35,4.67,25.02,4.12,0.38,0.73,4.85,30.2747368421053,11504.4,16.41,4.807,2.53233830845771,2.76811594202899,0.290526315789474,154.15,24.6926,5.80677009873061,5.42256042972247,0.124111111111111,40.7753846153846
"6","P.mar","imbiratanha",1,"6months",60,80,19.6,5.92,5.05,1.38,13.94,1.07,1.45,1.02,99.3,0.94,2.27,0.12,0.2,0.11,2.58,"s",2.78,16.22,0.308,0.202,0.022,0.009,0.94,0.95,0.113,0.0427,3.79,0.75,1.18,0.2,0.22,0.27,284.055,NA,27.155,24.65,7.3,31.95,4.97,0.393333333333333,0.95,5.92,24.0724576271186,9468.5,16.46,3.29,2.05194805194805,3.7029702970297,0.198039215686275,105.41,16.741,4.13636363636364,3.74444444444444,0.0818181818181818,12.3431818181818
"7","P.mar","imbiratanha",2,"6months",43,75,10.3,2.92,6.55,1.11,1.46,1.27,1.46,0.29,81.18,0.83,1.53,0.12,0.22,0.12,1.15,"s",1.92,11.62,0.304,0.156,0.018,0.006,1.04,1.1,0.0782,0.0277,1.97,0.36,1.22,0.14,0.16,0.1,287.03,NA,43.56,16.85,4.03,20.88,3.19,0.406666666666667,0.5,3.69,23.5270491803279,9567.66666666667,4.19,2.38,2.42105263157895,6.05128205128205,0.537931034482759,85.03,11.904,3.34444444444444,3.61666666666667,0.05,27.225
"8","P.mar","imbiratanha",3,"6months",54,72,12.62,6.1,5.52,2.29,16.47,1.53,2,1.56,81.6,1.37,2.26,0.27,0.31,0.28,1.12,"s",3,11.58,0.316,0.233,0.021,NA,1.18,1.31,0.11,0.05,2.66,0.28,1.22,0.76,0.36,0.24,332.611,NA,46.3,18.14,8.39,26.53,3.88,0.406666666666667,1.04,4.92,27.2631967213115,11087.0333333333,20,3.549,2.73417721518987,4.62231759656652,0.149358974358974,86.93,NA,4.23809523809524,NA,NA,12.8611111111111
"9","P.mar","imbiratanha",4,"6months",47,68,5.05,1.66,4.21,1.14,8.63,0.64,1.09,0.63,44.72,1.1,0.92,0.26,0.27,0.25,1.06,"s",1.64,5.43,0.254,0.108,0.023,0.012,0.94,0.61,0.1064,0.0677,1.17,0.22,0.94,0.16,0.24,0.17,264.77,NA,51.633,9.26,2.8,12.06,2.11,0.313333333333333,0.38,2.49,28.1670212765957,8825.66666666667,10.36,2.002,2.7007874015748,4.64814814814815,0.171428571428571,48.33,5.875,3.62608695652174,4.64166666666667,0.048,21.51375
"10","P.mar","imbiratanha",5,"6months",28,30.5,0.37,0.11,2.54,0.35,2.26,0.33,0.51,0.34,19.7,0.93,1.33,0.19,0.25,0.19,1.02,"s",0.29,3.84,0.113,0.031,0.021,0.009,0.47,0.31,0.1623,0.0829,0.07,0.12,0.36,0.05,0.24,0.1,145.168,NA,92.71,2.91,0.46,3.37,0.43,0.12,0.17,0.6,40.3244444444444,4838.93333333333,3.1,0.434,3.15929203539823,9,0.0911764705882353,23.42,4.21,6.72857142857143,8.21111111111111,0.0473684210526316,38.6291666666667
