Parcela,nivel_diversidade,media_facilitacao_crescimento,media_facilitacao_sobrevivencia,media_facilitacao_sobrevivenciaecrescimento,soma_facilitacao_crescimento,soma_facilitacao_sobrevivencia,soma_facilitacao_sobrevivenciaecresimento,sdcrescimento,sdsobrevivencia,sdcrescimentoesobrevivencia
1,1,0.0203,-0.024,-0.00185,0.6496,-0.768,-0.0592,0,0,0
2,1,-0.0003,0.019,0.00935,-0.0096,0.608,0.2992,0,0,0
3,4,-0.0271,0.0409,0.0069,-0.8672,1.3088,0.2208,0.0761074622258,0.026645292509245,0.046016953397634
4,16,0.04405625,0.049729375,0.0468928125,1.4098,1.59134,1.50057,0.080264715011059,0.042989373851138,0.046984768223973
5,8,0.107575,0.04508375,0.076329375,3.4424,1.44268,2.44254,0.038634657681848,0.051131194679519,0.037312636140131
6,2,0.04315,0.0455,0.044325,1.3808,1.456,1.4184,0.034696434696452,0.037084037084056,0.035890235890254
7,1,0.129,0.11,0.1195,4.128,3.52,3.824,0,0,0
8,2,-0.01135,0.08215,0.0354,-0.3632,2.6288,1.1328,0.101244501244552,0.047599647599671,0.074422074422112
10,1,0.129,0.11,0.1195,4.128,3.52,3.824,0,0,0
11,1,0.0773,0.082,0.07965,2.4736,2.624,2.5488,0,0,0
12,2,-0.00965,0.0772,0.033775,-0.3088,2.4704,1.0808,0.014884414884422,0.013716013716021,0.000584200584201
13,2,0.0525,0.003835,0.0281675,1.68,0.12272,0.90136,0.044196044196066,0.005247645247648,0.019474199474209
14,16,0.04405625,0.049729375,0.0468928125,1.4098,1.59134,1.50057,0.080264715011059,0.042989373851138,0.046984768223973
15,4,0.057675,0.0234175,0.04054625,1.8456,0.74936,1.29748,0.055340511906419,0.026587659883196,0.036439189002519
16,8,0.107575,0.04508375,0.076329375,3.4424,1.44268,2.44254,0.038634657681848,0.051131194679519,0.037312636140131
17,1,-0.111,0.0353,-0.03785,-3.552,1.1296,-1.2112,0,0,0
18,2,0.09565,0.05,0.072825,3.0608,1.6,2.3304,0.018643618643628,0.032512032512049,0.00693420693421
19,16,0.04405625,0.049729375,0.0468928125,1.4098,1.59134,1.50057,0.080264715011059,0.042989373851138,0.046984768223973
20,1,-0.111,0.0353,-0.03785,-3.552,1.1296,-1.2112,0,0,0
21,1,0.14,0.0157,0.07785,4.48,0.5024,2.4912,0,0,0
22,8,0.0361625,0.0451125,0.0406375,1.1572,1.4436,1.3004,0.093134560128465,0.036625337166785,0.0553491308904
