id	species	habitat	ticks	colour	sex	tailbody	weight
id1	SpC	grass	1	green	male	0.5	54
id2	SpC	grass	0	green	male	0.2	45
id3	SpB	rock	0	grey	female	0.4	31
id4	SpB	rock	2	brown	male	0.4	39
id5	SpB	grass	0	grey	female	0.4	40
id6	SpC	grass	0	brown	female	0.4	51
id7	SpC	rock	0	grey	female	0.2	49
id8	SpA	rock	0	green	female	0.3	58
id9	SpC	grass	3	brown	female	0.5	48
id10	SpA	grass	8	grey	female	0.5	57
id11	SpB	rock	0	green	female	0.4	43
id12	SpC	grass	1	green	male	0.4	53
id13	SpB	rock	0	green	female	0.5	46
id14	SpC	rock	0	brown	male	0.4	46
id15	SpA	grass	1	brown	male	0.4	43
id16	SpB	forest	0	brown	female	0.4	46
id17	SpA	rock	0	brown	male	0.1	42
id18	SpC	grass	0	brown	male	0.5	58
id19	SpC	forest	0	green	male	0.4	41
id20	SpA	forest	1	brown	female	0.5	40
id21	SpC	grass	5	green	male	0.3	50
id22	SpA	grass	0	green	female	0.2	51
id23	SpA	rock	1	green	male	0.5	38
id24	SpC	forest	0	brown	female	0.4	46
id25	SpC	rock	1	brown	female	0.4	45
id26	SpB	rock	0	green	female	0.4	42
id27	SpC	grass	1	brown	female	0.5	40
id28	SpA	rock	0	brown	female	0.4	57
id29	SpC	forest	0	grey	male	0.3	44
id30	SpA	rock	0	brown	male	0.4	39
id31	SpB	grass	1	grey	female	0.4	49
id32	SpA	rock	0	green	male	0.4	59
id33	SpC	grass	2	grey	male	0.3	49
id34	SpA	forest	0	grey	female	0.5	53
id35	SpB	forest	0	brown	male	0.4	53
id36	SpA	rock	1	grey	male	0.5	40
id37	SpC	grass	0	green	male	0.3	40
id38	SpC	grass	0	brown	male	0.3	50
id39	SpA	rock	0	green	female	0.4	40
id40	SpA	grass	0	grey	male	0.5	58
id41	SpC	grass	0	grey	female	0.4	42
id42	SpB	rock	9	green	male	0.4	53
id43	SpC	grass	0	brown	female	0.4	57
id44	SpB	grass	5	grey	male	0.2	56
id45	SpC	rock	1	grey	male	0.4	38
id46	SpC	forest	0	green	male	0.5	49
id47	SpC	grass	0	green	female	0.5	59
id48	SpB	rock	0	brown	female	0.3	54
id49	SpB	grass	0	brown	male	0.5	32
id50	SpA	grass	0	green	female	0.4	31
id51	SpA	rock	0	green	female	0.3	39
id52	SpA	forest	1	grey	female	0.5	59
id53	SpA	rock	1	green	male	0.3	44
id54	SpB	rock	2	green	female	0.4	51
id55	SpB	rock	1	green	female	0.3	57
id56	SpC	grass	2	green	female	0.5	32
id57	SpC	rock	1	green	female	0.3	32
id58	SpC	forest	8	brown	female	0.2	37
id59	SpC	grass	2	grey	male	0.5	36
id60	SpB	rock	3	grey	female	0.4	36
id61	SpB	grass	0	green	male	0.5	42
id62	SpC	grass	1	brown	male	0.3	42
id63	SpB	grass	2	brown	female	0.5	53
id64	SpA	grass	0	grey	male	0.4	48
id65	SpB	rock	2	grey	male	0.5	56
id66	SpC	rock	5	green	male	0.4	41
id67	SpC	grass	0	green	female	0.5	51
id68	SpA	forest	0	grey	female	0.5	54
id69	SpA	rock	1	brown	female	0.4	36
id70	SpB	rock	3	grey	male	0.3	55
id71	SpC	grass	1	grey	female	0.4	57
id72	SpA	rock	2	brown	female	0.4	41
id73	SpC	forest	2	green	male	0.4	35
id74	SpC	rock	2	grey	female	0.1	37
id75	SpC	grass	0	green	female	0.5	47
id76	SpC	rock	2	brown	female	0.5	56
id77	SpA	rock	0	grey	male	0.4	34
id78	SpC	grass	0	brown	male	0.5	31
id79	SpB	grass	1	brown	female	0.4	60
id80	SpB	rock	0	grey	female	0.3	48
id81	SpA	rock	0	green	male	0.4	40
id82	SpB	grass	1	grey	male	0.2	40
id83	SpB	rock	0	green	female	0.3	55
id84	SpC	grass	1	brown	female	0.4	43
id85	SpA	rock	0	green	male	0.4	33
id86	SpC	rock	0	green	female	0.4	39
id87	SpA	forest	0	green	female	0.3	55
id88	SpA	grass	0	green	female	0.5	56
id89	SpB	rock	0	green	female	0.3	44
id90	SpC	rock	2	grey	female	0.4	49
id91	SpC	rock	2	brown	male	0.4	55
id92	SpA	rock	0	brown	female	0.2	37
id93	SpC	rock	0	green	male	0.4	42
id94	SpB	rock	1	brown	male	0.5	57
id95	SpB	rock	0	green	male	0.3	41
id96	SpB	rock	1	grey	female	0.3	42
id97	SpA	rock	0	grey	female	0.4	34
id98	SpB	grass	1	brown	female	0.4	45
id99	SpA	rock	0	green	female	0.4	35
id100	SpA	rock	1	green	female	0.4	56
id101	SpC	rock	0	green	male	0.4	31
id102	SpA	forest	0	green	male	0.3	47
id103	SpC	forest	7	brown	male	0.4	43
id104	SpC	rock	2	brown	male	0.4	49
id105	SpA	forest	5	green	female	0.5	56
id106	SpA	forest	1	green	male	0.2	46
id107	SpC	rock	1	green	female	0.4	56
id108	SpA	grass	1	brown	male	0.5	59
id109	SpB	forest	0	brown	female	0.5	36
id110	SpB	rock	0	brown	male	0.4	32
id111	SpA	grass	3	grey	male	0.4	46
id112	SpB	rock	7	grey	male	0.5	57
id113	SpC	rock	1	brown	female	0.3	51
id114	SpC	grass	0	brown	male	0.3	32
id115	SpB	forest	1	green	female	0.4	51
id116	SpA	rock	0	green	male	0.5	38
id117	SpA	rock	1	green	male	0.3	55
id118	SpB	forest	8	green	male	0.4	37
id119	SpC	rock	3	green	female	0.3	57
id120	SpC	rock	0	brown	male	0.4	37
