"x" "y" "compositions" "richness" "plots" "color" "facilitation" "MimTen" "HanImp" "AspPyr" "ComLep" "PipSti" "AmbCea" "CynFle" "CombLep" "LibFer" "BauChe" "PoiGar" "PseMar" "CocVit" "ZizJoa" "AnaCol" "SebMac" "cresc.altura"
"1" -36.96378041 -5.539614374 15 1 1 "white" 0.06 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 -0.161060998015917
"2" -36.96353007 -5.539601895 8 1 2 "white" 0.047 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 -0.0198594626482534
"3" -36.96355301 -5.539488964 14 4 3 "yellow" -0.0355 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0.25 0.25 0.25 -0.0124774387565565
"4" -36.96378072 -5.539523967 32 16 4 "green" 0.0429375 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0546665539294711
"5" -36.96391637 -5.539434025 31 8 5 "blue" 0.090125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0 0 0 0 0 0 0 0 0.188726921559465
"6" -36.96378103 -5.539433559 13 2 6 "red" -0.005 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0 0.216804793206882
"7" -36.96355332 -5.539398557 2 1 7 "white" 0.068 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 -0.362241369321077
"8" -36.96355363 -5.53930815 29 2 8 "red" 0.0335 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0.0726389563839456
"9" -36.96380397 -5.539320628 1 0 9 "orange" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"10" -36.96391668 -5.539343618 2 1 10 "white" 0.068 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 -0.0598145526218997
"11" -36.96402957 -5.539313574 11 1 11 "white" -0.001 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0.323942367215506
"12" -36.96405252 -5.539200643 27 2 12 "red" 0.0275 0 0 0 0 0 0 0 0 0.5 0 0.5 0 0 0 0 0 -0.00250135960743349
"13" -36.96391699 -5.53925321 46 2 13 "red" 0.0245 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0.5 0 0 0.121873500590252
"14" -36.96355394 -5.539217742 32 16 14 "green" 0.0429375 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.118445393762368
"15" -36.96344108 -5.539239956 10 4 15 "yellow" 0.04925 0 0.25 0 0 0.25 0 0 0 0 0.25 0 0 0 0.25 0 0 0.156519645942701
"16" -36.96341891 -5.53912687 31 8 16 "blue" 0.090125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0 0 0 0 0 0 0 0 0.00540233543558368
"17" -36.96355425 -5.539127335 4 1 17 "white" -0.063 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 -0.111469104544061
"18" -36.96368966 -5.539108634 12 2 18 "red" 0.028 0 0 0 0.5 0 0 0 0 0 0 0 0 0.5 0 0 0 -0.118010052335694
"19" -36.9639173 -5.539162803 32 16 19 "green" 0.0429375 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.168190559172269
"20" -36.96405283 -5.539110236 4 1 20 "white" -0.063 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0.170056242525854
"21" -36.96405314 -5.539019829 20 1 21 "white" 0.06 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0.234098445215285
"22" -36.96391761 -5.539072396 9 8 22 "blue" 0.047625 0.125 0.125 0.125 0.125 0 0 0 0 0 0.125 0 0 0 0.125 0.125 0.125 0.264231958901544
"23" -36.96355456 -5.539036928 22 1 23 "white" 0.101 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.184302562571397
"24" -36.96355487 -5.538946521 13 2 24 "red" -0.005 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0 0.277292700322611
"25" -36.96369022 -5.538946986 32 16 25 "green" 0.0429375 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.113922006545236
"26" -36.96369053 -5.538856579 28 1 26 "white" 0.13 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.316138236401301
"27" -36.96355518 -5.538856114 38 4 27 "yellow" 0.0515 0 0 0.25 0 0 0 0.25 0 0 0 0.25 0 0 0 0.25 0 0.270684245716402
"28" -36.96341984 -5.538855648 9 8 28 "blue" 0.047625 0.125 0.125 0.125 0.125 0 0 0 0 0 0.125 0 0 0 0.125 0.125 0.125 0.408071722608457
"29" -36.96330744 -5.538742252 32 16 29 "green" 0.0429375 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.155054939496483
"30" -36.96342015 -5.538765241 37 1 30 "white" 0.022 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0.384931602798084
"31" -36.96355549 -5.538765707 5 1 31 "white" 0.187 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0.314620732529361
"32" -36.96369083 -5.538766172 14 4 32 "yellow" -0.0355 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0.25 0.25 0.25 0.360340412542543
"33" -36.96382618 -5.538766637 44 2 33 "red" -0.066 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0.0976275814799428
"34" -36.96396138 -5.538808084 39 2 34 "red" 0.0615 0 0.5 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0.491714644009206
"35" -36.96409686 -5.538767568 1 0 35 "orange" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"36" -36.96409717 -5.538677161 6 2 36 "red" 0.11 0 0 0.5 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0.179397088157989
"37" -36.96396169 -5.538717677 42 2 37 "red" -0.0315 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0.5 -0.100218946845098
"38" -36.96382649 -5.53867623 45 1 38 "white" -0.009 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0.487898843078027
"39" -36.96369114 -5.538675765 32 16 39 "green" 0.0429375 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 -0.0556530474328345
"40" -36.9635558 -5.5386753 30 4 40 "yellow" 0.11875 0.25 0.25 0.25 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0.397748445268289
"41" -36.96342046 -5.538674834 40 1 41 "white" 0.006 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 -0.267687427635387
"42" -36.9633079 -5.538606641 42 2 42 "red" -0.0315 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0.5 0.093745366784248
"43" -36.96342077 -5.538584427 12 2 43 "red" 0.028 0 0 0 0.5 0 0 0 0 0 0 0 0 0.5 0 0 0 0.119602998561665
"44" -36.96355611 -5.538584892 15 1 44 "white" 0.06 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0.0861892034793907
"45" -36.96369145 -5.538585358 23 2 45 "red" 0.079 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0.379672923340103
"46" -36.9638268 -5.538585823 36 8 46 "blue" 0.03825 0 0 0 0 0.125 0.125 0.125 0.125 0.125 0 0.125 0.125 0.125 0 0 0 0.218678392161618
"47" -36.96396214 -5.538586288 4 1 47 "white" -0.063 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0.275152163095605
"48" -36.96409748 -5.538586754 19 4 48 "yellow" 0.048 0.25 0 0 0.25 0 0 0 0 0 0 0 0.25 0.25 0 0 0 0.0616114180006846
"49" -36.96423314 -5.538496812 26 8 49 "blue" -0.00425 0 0 0 0 0 0 0 0 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 9.78888624160892e-05
"50" -36.96409779 -5.538496347 32 16 50 "green" 0.0429375 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.207988457739066
"51" -36.96396245 -5.538495881 17 2 51 "red" 0.0535 0 0 0 0 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0.141957811799212
"52" -36.96382711 -5.538495416 22 1 52 "white" 0.101 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.574804329648071
"53" -36.96369176 -5.538494951 7 2 53 "red" 0.1585 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0.229618050546882
"54" -36.96355642 -5.538494485 34 4 54 "yellow" 0.0615 0 0 0 0 0.25 0.25 0.25 0.25 0 0 0 0 0 0 0 0 0.342179616101356
"55" -36.96342108 -5.53849402 46 2 55 "red" 0.0245 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0.5 0 0 0.152262410062073
"56" -36.96328573 -5.538493554 33 1 56 "white" 0.058 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0.0580543563765694
"57" -36.96317334 -5.538380158 41 2 57 "red" 0.0265 0 0 0 0 0 0 0 0 0 0.5 0 0.5 0 0 0 0 -0.438792065547174
"58" -36.96328604 -5.538403147 1 0 58 "orange" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"59" -36.96342139 -5.538403613 36 8 59 "blue" 0.03825 0 0 0 0 0.125 0.125 0.125 0.125 0.125 0 0.125 0.125 0.125 0 0 0 -0.270399005143493
"60" -36.96355673 -5.538404078 45 1 60 "white" -0.009 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0.43923925271559
"61" -36.96369207 -5.538404543 41 2 61 "red" 0.0265 0 0 0 0 0 0 0 0 0 0.5 0 0.5 0 0 0 0 -0.158036335888327
"62" -36.96382742 -5.538405009 2 1 62 "white" 0.068 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0.068098403003645
"63" -36.96396276 -5.538405009 1 0 63 "orange" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
