plot,div,especie,sci_sp,abrev,comp
1,1,mofumbu,Combretum leprosum,CombLepr,n
2,1,mororo,Bauhinha cheilanta,BauChei,o
7,1,cumaru,Amburana cearensis,AmbCear,e
10,1,cumaru,Amburana cearensis,AmbCear,e
11,1,algodao,Cochlospermum vitifolium,CochVit,a
17,1,angico,Anandenanthera colubrina,AnanCol,b
20,1,angico,Anandenanthera colubrina,AnanCol,b
21,1,feijao,Cynophala hastata,CynoHas,f
23,1,ipe,Handroanthus impetiginosus ,HandImp,i
26,1,ju_preta,Mimosa tenuiflora,MimTen,l
30,1,cating,Poincianella gardneriana,Poingard,d
31,1,pereiro,Aspidospermum pyrifolium,AspPyri,p
38,1,joazeiro,Ziziphus joazeiro,ZizJoaz,j
41,1,imbira,Pseudobombax marginatum,PseuMar,g
44,1,mofumbu,Combretum leprosum,CombLepr,n
47,1,angico,Anandenanthera colubrina,AnanCol,b
52,1,ipe,Handroanthus impetiginosus ,HandImp,i
56,1,ju_branca,Piptadenia stipulacea,PipStip,k
60,1,joazeiro,Ziziphus joazeiro,ZizJoaz,j
62,1,cumaru,Amburana cearensis,AmbCear,e
65,1,algodao,Cochlospermum vitifolium,CochVit,a
66,1,ju_branca,Piptadenia stipulacea,PipStip,k
69,1,imburana,Commiphora leptophloeos,ComLepto,h
77,1,feijao,Cynophala hastata,CynoHas,f
82,1,imburana,Commiphora leptophloeos,ComLepto,h
83,1,juca,Libidibia ferrea,LibFerr,m
90,1,ipe,Handroanthus impetiginosus ,HandImp,i
93,1,imbira,Pseudobombax marginatum,PseuMar,g
98,1,ju_branca,Piptadenia stipulacea,PipStip,k
99,1,burra,Sebastiania macrocarpa,SebMac,c
100,1,ju_preta,Mimosa tenuiflora,MimTen,l
101,1,mororo,Bauhinha cheilanta,BauChei,o
102,1,algodao,Cochlospermum vitifolium,CochVit,a
103,1,mofumbu,Combretum leprosum,CombLepr,n
104,1,feijao,Cynophala hastata,CynoHas,f
105,1,pereiro,Aspidospermum pyrifolium,AspPyri,p
106,1,imbira,Pseudobombax marginatum,PseuMar,g
116,1,joazeiro,Ziziphus joazeiro,ZizJoaz,j
123,1,cating,Poincianella gardneriana,Poingard,d
126,1,juca,Libidibia ferrea,LibFerr,m
128,1,cating,Poincianella gardneriana,Poingard,d
129,1,juca,Libidibia ferrea,LibFerr,m
134,1,mororo,Bauhinha cheilanta,BauChei,o
140,1,ju_preta,Mimosa tenuiflora,MimTen,l
144,1,burra,Sebastiania macrocarpa,SebMac,c
147,1,pereiro,Aspidospermum pyrifolium,AspPyri,p
152,1,burra,Sebastiania macrocarpa,SebMac,c
154,1,imburana,Commiphora leptophloeos,ComLepto,h
6,2,algodao,Cochlospermum vitifolium,CochVit,aa
6,2,joazeiro,Ziziphus joazeiro,ZizJoaz,aa
8,2,angico,Anandenanthera colubrina,AnanCol,bb
8,2,ju_preta,Mimosa tenuiflora,MimTen,bb
12,2,cating,Poincianella gardneriana,Poingard,cc
12,2,juca,Libidibia ferrea,LibFerr,cc
13,2,joazeiro,Ziziphus joazeiro,ZizJoaz,dd
13,2,ju_branca,Piptadenia stipulacea,PipStip,dd
18,2,algodao,Cochlospermum vitifolium,CochVit,ee
18,2,imburana,Commiphora leptophloeos,ComLepto,ee
24,2,algodao,Cochlospermum vitifolium,CochVit,aa
24,2,joazeiro,Ziziphus joazeiro,ZizJoaz,aa
33,2,angico,Anandenanthera colubrina,AnanCol,ff
33,2,burra,Sebastiania macrocarpa,SebMac,ff
34,2,cating,Poincianella gardneriana,Poingard,gg
34,2,ipe,Handroanthus impetiginosus ,HandImp,gg
36,2,juca,Libidibia ferrea,LibFerr,hh
36,2,pereiro,Aspidospermum pyrifolium,AspPyri,hh
37,2,burra,Sebastiania macrocarpa,SebMac,ii
37,2,imbira,Pseudobombax marginatum,PseuMar,ii
42,2,burra,Sebastiania macrocarpa,SebMac,ii
42,2,imbira,Pseudobombax marginatum,PseuMar,ii
