plot,algodao,angico,burra,cating,cumaru,feijao,imbira,imburana,ipe,joazeiro,ju_branca,ju_preta,juca,mororo,mofumbu,pereiro
3,7.05381230506387,1.23160029194745,-0.982134951072325,0,0,0,0,0,0,2.89866051896268,0,0,0,0,0,0
4,1.63988,0.808277,1.3794978,-0.3492,-0.666,0.9076,-0.328,0.8,0,1.36778,-0.179,2.43865,2.19187,2.7005,1.301,1.07532
5,0,0,0,0,-0.71428,0.637,0,2.3065,0.2612,0,0.08508,8.22699,0,0,0.5079,0.5885
6,21.5817,0,0,0,0,0,0,0,0,3.0341,0,0,0,0,0,0
8,0,0.96878,0,0,0,0,0,0,0,0,0,8.23083,0,0,0,0
12,0,0,0,1.152803,0,0,0,0,0,0,0,0,4.40439,0,0,0
13,0,0,0,0,0,0,0,0,0,2.37802,0.4526637,0,0,0,0,0
14,5.03333,-0.4583333,-0.220132,0.6,-0.5,0.451612,23,1.234795,-0.8375,1.5395324,2.40422,10.407999,-0.585553,0,0.0240963,1.325231
15,0,0,0,0,0,0,0,0,1.062770562,2.34558,-0.0087576,0,0,1.081519,0,0
16,0,0,0,0,0,0,0,1.367191,-0.078431,0,1.244255,17.2965,0,0,0.332,0.51765
18,2.83251,0,0,0,0,0,0,16.40148,0,0,0,0,0,0,0,0
19,0.48648,1.78216,0,3.2777777,0,0.803463,-0.3333333,0.89352,0,1.208633,-0.451546,9.4043,1.71428,2.776901,0.96482758,0.857142
22,0,2.4374068,0.453678,0,0,0,0,0.592057,0,2.19851,0,4.48464,0,1.891388,0,1.15668
24,2.821318,0,0,0,0,0,0,0,0,2.050935,0,0,0,0,0,0
25,3.11153846,-0.035714,-0.99411,1,-0.639705,-0.659224,0,1.180912,2.857142,2.055749,-0.059504,4.665109,1.462686,0,-0.075603,0.04495
27,0,0.24039446,0,1.95512265,0,0.0105125,0,0,0,0,0,0,0,0,0,0.7102108
28,0,-0.972222,1.777202,0,0,0,0,0.68793894,0.8322662,1.228696,0,18.0783,0,1.12,0,1.061977696
29,3.08,0,0,37.468,-0.9332,0.1266,0,0,3.023333335,0,-10.85699998,0,8.509,0,9.174,0
32,6.55744131,1.733576,2.063174,0,0,0,0,0,0,2.400621,0,0,0,0,0,0
33,0,1.2604617,1.644933,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0.777366,0,0,0,0,1.337004,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,2.004766,0,0,0.3989146
37,0,0,6.494,0,0,0,5.342352,0,0,0,0,0,0,0,0,0
39,7.8,1.0885167464,7.6372093,0.626262,0,0.320512,0.7857142,2.6,0.3529411,1.97368,0,8.646217,3.04001,6.34482,6.57692,1.46623
40,0,0,0,0,0,0,0,1.3986156,0.367504,0,0,5.6103218,0,0,0,0.474266
42,0,0,-0.3400943,0,0,0,4.1694444,0,0,0,0,0,0,0,0,0
43,7.715585,0,0,0,0,0,0,1.894152,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,2.8495561,1.196926,0,0,0,0,0,0,0
46,7.24035,0,0,0.7720654,-0.0357142,0.1390013,1.666666,0,0,0,1.258345,0,6.6514041,0,51.810862,0
48,3.75284477,0,0,0,0,0,4.4375,3.158317,0,0,0,6.264342,0,0,0,0
49,4.57142,1.69805,0.461952,-0.25,0,0,1.0833333,0,0,2.787401,0,0,1.447409,1.36923,0,0
50,2.555639,0.496031,5.029411,0.65789,2.6666,-0.013227,3,0.124649,3.6,2.4321443,1.09604,7.416049,1,2.2903225,0.3202965,1.682539
51,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37174391,9.803541662,0
53,0,0,0,0,0,0,0,0,0,0,0,6.543613,0,0,0,1.115049
54,0,0,0,0,-0.95,-0.541769,0,0,0,0,7.231707,0,0,0,2.3861,0
55,0,0,0,0,0,0,0,0,0,2.286884168,1.6652893,0,0,0,0,0
57,0,0,0,0,0,0,2.148333,0,0,0,0,0,0,1.177777,0,0
59,0,0,0,-1.615,-0.92857,0,1.333333,0,0,0,-0.00849,0,85.93478,0,0.3603,0
61,0,0,0,0,0,0,9.3111111,0,0,0,0,0,0,0.51449279,0,0
64,0,0,0,0,0,0.0311619,0,0,0,0,1.7168596,0,0,0,0,0
67,0,0.1261391,0,-0.0607804,0,-0.367089,0,0,0,0,0,0,0,0,0,0.39055
68,0,0,0,0,0,0,0,0,2.1655839,2.982004,0.6181393,0,0,1.01795136,0,0
