PLOT,DIV,COMP,meanG
1,1,n,1
2,1,o,1
3,4,aab,0.2785
4,16,ccc,0.3463
5,8,bbf,0.4798
6,2,aa,0.3157
7,1,e,1
8,2,bb,0.3528
10,1,e,1
11,1,a,1
12,2,cc,0.4729
13,2,dd,0.4298
14,16,ccc,0.3463
15,4,aai,0.434
16,8,bbf,0.4798
17,1,b,1
18,2,ee,0.3904
19,16,ccc,0.3463
20,1,b,1
21,1,f,1
22,8,bbe,0.4728
23,1,i,1
24,2,aa,0.29943
25,16,ccc,0.3463
26,1,l,1
27,4,aad,0.40193
28,8,bbe,0.4728
29,16,ccc,0.3463
30,1,d,1
31,1,p,1
32,4,aab,0.2785
33,2,ff,0.2844
34,2,gg,0.5832
36,2,hh,0.3157
37,2,ii,0.3366
38,1,j,1
39,16,ccc,0.3463
40,4,aah,0.313
41,1,g,1
42,2,ii,0.3366
43,2,ee,0.3904
44,1,n,1
45,2,jj,0.2366
46,8,bbc,0.42489
47,1,b,1
48,4,aac,0.3427
49,8,bbd,0.203
50,16,ccc,0.3463
51,2,kk,0.2366
52,1,i,1
53,2,ll,0.2714
54,4,aaf,0.382
55,2,dd,0.4298
56,1,k,1
57,2,mm,0.434
59,8,bbc,0.42489
60,1,j,1
61,2,mm,0.434
62,1,e,1
64,2,nn,0.4203
65,1,a,1
66,1,k,1
67,4,aad,0.40193
68,4,aai,0.434
69,1,h,1
71,16,ccc,0.3463
72,2,nn,0.4203
73,2,bb,0.3528
74,2,oo,0.3229
75,4,aac,0.3427
76,4,aah,0.313
77,1,f,1
78,2,bb,0.3528
79,8,bbf,0.4798
80,4,aah,0.313
81,4,aae,0.3588
82,1,h,1
83,1,m,1
85,8,bbd,0.203
86,4,aad,0.40193
87,2,aa,0.29943
88,2,ll,0.2714
89,2,kk,0.2366
90,1,i,1
91,2,pp,0.3527
92,2,ii,0.3366
93,1,g,1
94,4,aae,0.3588
95,16,ccc,0.3463
96,2,cc,0.4729
97,4,aag,0.3692
98,1,k,1
99,1,c,1
100,1,l,1
101,1,o,1
102,1,a,1
103,1,n,1
104,1,f,1
105,1,p,1
106,1,g,1
107,2,nn,0.4203
108,16,ccc,0.3463
109,2,oo,0.3229
110,2,hh,0.3157
111,2,ee,0.3904
112,16,ccc,0.3463
113,2,jj,0.2366
114,2,kk,0.2366
115,16,ccc,0.3463
116,1,j,1
117,4,aab,0.2785
119,2,pp,0.3527
120,2,gg,0.5832
121,4,aag,0.3692
122,2,dd,0.4298
123,1,d,1
124,2,jj,0.2366
125,8,bbd,0.203
126,1,m,1
127,4,aai,0.434
128,1,d,1
129,1,m,1
130,16,ccc,0.3463
131,2,ll,0.2714
132,4,aaf,0.382
133,2,oo,0.3229
134,1,o,1
135,4,aac,0.3427
136,8,bbe,0.4728
137,4,aaf,0.382
138,4,aae,0.3588
139,2,pp,0.3527
140,1,l,1
141,2,cc,0.4729
142,2,gg,0.5832
143,2,hh,0.3157
144,1,c,1
145,2,mm,0.434
146,4,aag,0.3692
147,1,p,1
149,16,ccc,0.3463
150,2,ff,0.2844
151,8,bbc,0.42489
152,1,c,1
153,16,ccc,0.3463
154,1,h,1
155,2,ff,0.2844
