plot,algodao,angico,burra,cating,cumaru,feijao,imbira,imburana,ipe,joazeiro,ju_branca,ju_preta,juca,mororo,mofumbu,pereiro
3,0.25,0.25,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0
4,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
5,0,0,0,0,0.125,0.125,0,0.125,0.125,0,0.125,0.125,0,0,0.125,0.125
6,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
8,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
12,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0
13,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
14,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
15,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0,0
16,0,0,0,0,0.125,0.125,0,0.125,0.125,0,0.125,0.125,0,0,0.125,0.125
18,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
19,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
22,0,0.125,0.125,0,0,0,0,0.125,0.125,0.125,0,0.125,0,0.125,0,0.125
24,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
25,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
27,0,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0.25
28,0,0.125,0.125,0,0,0,0,0.125,0.125,0.125,0,0.125,0,0.125,0,0.125
29,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
32,0.25,0.25,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0
33,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5
37,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
39,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
40,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0,0,0,0.25
42,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
43,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0
46,0.125,0,0,0.125,0.125,0.125,0.125,0,0,0,0.125,0,0.125,0,0.125,0
48,0.25,0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0,0,0
49,0.125,0.125,0.125,0.125,0,0,0.125,0,0,0.125,0,0,0.125,0.125,0,0
50,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0
53,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5
54,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0,0,0,0.25,0
55,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
57,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0
59,0.125,0,0,0.125,0.125,0.125,0.125,0,0,0,0.125,0,0.125,0,0.125,0
61,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0
64,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0
67,0,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0.25
68,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0,0
71,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
72,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0
73,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
74,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
75,0.25,0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0,0,0
76,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0,0,0,0.25
78,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
79,0,0,0,0,0.125,0.125,0,0.125,0.125,0,0.125,0.125,0,0,0.125,0.125
80,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0,0,0,0.25
81,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0,0.25,0
85,0.125,0.125,0.125,0.125,0,0,0.125,0,0,0.125,0,0,0.125,0.125,0,0
86,0,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0.25
87,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0
91,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0
92,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
94,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0,0.25,0
95,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
96,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0
97,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0.25,0.25,0,0
107,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0
108,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
109,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5
111,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
112,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
113,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0
115,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
117,0.25,0.25,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0
119,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0
120,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0
121,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0.25,0.25,0,0
122,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
124,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0
125,0.125,0.125,0.125,0.125,0,0,0.125,0,0,0.125,0,0,0.125,0.125,0,0
127,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0,0
130,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
131,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5
132,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0,0,0,0.25,0
133,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
135,0.25,0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0,0,0
136,0,0.125,0.125,0,0,0,0,0.125,0.125,0.125,0,0.125,0,0.125,0,0.125
137,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0,0,0,0.25,0
138,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0,0.25,0
139,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0
141,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0
142,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5
145,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0
146,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0.25,0.25,0,0
149,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
150,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0.125,0,0,0.125,0.125,0.125,0.125,0,0,0,0.125,0,0.125,0,0.125,0
153,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
155,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
